pathogen,antibiotic_class,resistant_dalys,resistant_ylls,resistant_ylds,resistant_deaths,total_dalys,log_burden,mortality_prop,resistance_attr_frac
Citrobacter spp.,Fourth-generation cephalosporins,3263.2606076306306,3247.3522774272024,15.908330203427223,99.86620674410526,34976.42906952157,3.5137848240823844,0.9951250199980265,0.093298849952471
Citrobacter spp.,Third-generation cephalosporins,11354.161941844673,11296.8887524802,57.273189364475826,399.3549851555517,98688.68784940336,4.055193332298424,0.9949557537000242,0.11505028782195123
Enterobacter spp.,Aminoglycosides,12186.78660131884,12054.019106733926,132.76749458491307,438.97228488055026,183019.4311661957,4.085924841458001,0.9891056191489768,0.06658739197070411
Enterobacter spp.,Anti-pseudomonal penicillin/Beta-Lactamase inhibitors,65103.39410955454,64716.86781837988,386.52629117465335,2540.19198293677,533046.8900644535,4.813610301519513,0.9940628857149257,0.12213446006913654
Enterobacter spp.,Carbapenems,62711.49977609352,62426.45139601459,285.04838007891357,2365.5929552276093,245895.05727378227,4.797354112485218,0.9954546075106375,0.25503359226236744
Enterobacter spp.,Fluoroquinolones,31112.422035369105,31049.150953150835,63.27108221827339,1062.1844951607118,275963.96019856684,4.492947779972278,0.9979663723336503,0.11274088838623127
Enterobacter spp.,Fourth-generation cephalosporins,29103.90419508853,28940.943149355477,162.9610457330475,963.4379374887022,517454.03904303926,4.463966174051655,0.9944007152909558,0.056244423657243414
Enterobacter spp.,Trimethoprim-Sulfamethoxazole,30841.730175425742,30730.166757058018,111.5634183677315,1115.027057639075,502754.18999307987,4.489152814503493,0.9963827120679298,0.06134554577426834
Enterococcus faecalis,Fluoroquinolones,135232.94863685116,134678.51834026774,554.4302965833804,5214.693171949679,556739.334013587,5.131085728993892,0.995900183334224,0.24290173223785658
Enterococcus faecalis,Vancomycin,41335.80965712574,40883.600644581915,452.209012543846,1596.6015279353235,124857.04700598349,4.616336955073755,0.9890601147940526,0.331065091225043
Enterococcus faecium,Fluoroquinolones,235299.9605123795,234639.4820380281,660.478474351412,9681.342112682481,1550942.5962160653,5.371623699995293,0.9971930361870305,0.15171416471922033
Enterococcus faecium,Vancomycin,272179.6552486822,271255.3423972247,924.3128514572678,11508.168753986027,1105942.8228950219,5.434857255263721,0.9966040340134432,0.24610644385412117
Escherichia coli,Aminoglycosides,49453.4499721495,48731.637675597245,721.8122965522599,2191.9560791073577,788544.9272498948,4.694205376042354,0.9854042074524879,0.0627148159390509
Escherichia coli,Aminopenicillin,86237.20728312137,84877.4947835076,1359.7124996137434,4004.888325327041,4525708.842126482,4.935699719837789,0.9842328787949993,0.019054961397516973
Escherichia coli,Beta Lactam/Beta-lactamase inhibitors,203155.73905843907,199805.6359450201,3350.1031134190894,9435.354115873639,3495707.7333413716,5.307831233196274,0.9835096801648542,0.05811576783744808
Escherichia coli,Carbapenems,42544.692961081884,42097.154085720475,447.53887536141247,1764.6773323087534,179382.49201188388,4.628855601602466,0.9894807355697501,0.23717305119310703
Escherichia coli,Fluoroquinolones,293215.60786987614,289350.59682223934,3865.011047636861,12833.137158494561,2690517.77432735,5.467188565225484,0.9868185357671954,0.10898110789964292
Escherichia coli,Third-generation cephalosporins,297446.11059962836,293299.2311521624,4146.879447465989,12545.40469947852,2102515.6183554395,5.473409754546133,0.9860583840242315,0.14147153438616866
Escherichia coli,Trimethoprim-Sulfamethoxazole,189316.7960795788,187723.50954427925,1593.2865352995784,8295.027167166305,3106297.00700323,5.277191440038251,0.991584019124062,0.06094613478774211
Group A Streptococcus,Macrolide,18487.720019898825,17310.303541916073,1177.416477982752,673.5716880979264,194267.0107975113,4.266906845851623,0.9363135921186893,0.0951665439438345
Group B Streptococcus,Fluoroquinolones,25020.705282099265,24908.24408489511,112.46119720414376,724.9245137805328,145508.89001544937,4.398316904452872,0.995505274694051,0.17195310389243246
Group B Streptococcus,Macrolide,75481.8379154061,74497.34284137099,984.495074035078,2706.623232994874,740416.6224609138,4.877848219895541,0.9869571926012398,0.10194508824576076
Group B Streptococcus,Penicillin,3827.447252979906,3807.7617386451875,19.685514334719926,121.26458654254544,17190.41068426871,3.5830226679122426,0.9948567509795482,0.22265013461733388
Haemophilus influenzae,Aminopenicillin,22543.808533897012,22313.379940384824,230.42859351218434,781.1684449080805,136788.7601349773,4.353046551329212,0.9897786306530367,0.16480746306678695
Haemophilus influenzae,Third-generation cephalosporins,8441.087687596866,8353.195973444172,87.89171415269757,234.13917763205407,28864.027934797272,3.926449858839672,0.9895876316648334,0.29244316512805024
Klebsiella pneumoniae,Aminoglycosides,121723.55656386261,121014.97824626415,708.5783175985092,4501.731607264117,1540383.7394790472,5.085378201108929,0.9941787905513034,0.0790215797818205
Klebsiella pneumoniae,Beta Lactam/Beta-lactamase inhibitors,83331.11150114407,82736.3546588381,594.7568423059325,3180.0799953150085,2988000.9754128414,4.920812386285962,0.99286272759847,0.027888582429137422
Klebsiella pneumoniae,Carbapenems,202012.37593092874,201438.3951979695,573.9807329591753,7734.909048980357,866326.472368986,5.305380126380631,0.9971586853017588,0.233182734654895
